,Season,Liga_Goals,Liga_Asts,Liga_Aps,Liga_Mins,CL_Goals,CL_Asts,CL_Aps,CL_Mins,All_Goals,All_Asts,All_Aps,Liga_GPM,CL_GPM,All_GPM,Liga_APM,CL_APM,All_APM
0,2017-18,34,12,36,2996,6,2,10,783,40,14,46,0.94,0.6,0.87,0.33,0.2,0.3
2,2016-17,37,9,34,2832,11,2,9,810,48,11,43,1.09,1.22,1.12,0.26,0.22,0.26
4,2015-16,26,16,33,2729,6,1,7,630,32,17,40,0.79,0.86,0.8,0.48,0.14,0.42
6,2014-15,43,21,38,3375,10,6,13,1145,53,27,51,1.13,0.77,1.04,0.55,0.46,0.53
8,2013-14,28,12,31,2498,8,1,7,630,36,13,38,0.9,1.14,0.95,0.39,0.14,0.34
10,2012-13,46,14,32,2629,8,3,11,827,54,17,43,1.44,0.73,1.26,0.44,0.27,0.4
12,2011-12,50,20,37,3270,14,9,11,990,64,29,48,1.35,1.27,1.33,0.54,0.82,0.6
14,2010-11,31,21,33,2862,12,4,13,1050,43,25,46,0.94,0.92,0.93,0.64,0.31,0.54
16,2009-10,34,13,35,2841,8,0,11,985,42,13,46,0.97,0.73,0.91,0.37,0.0,0.28
